teacher_id,teacher_firstname,teacher_lastname,city,teacher_description,diploma_titles,diploma_levels,n_diplomas,highest_diploma_level,n_experiences
3b49709a461c,Antoine Dubois,Lefebvre,Paris,"Formateur et professeur d'informatique passionné, avec plus de 10 ans d'expérience dans l'enseignement et la formation. Expertise dans les langages Python, Java, et le développement web.  Recherche à offrir des cours stimulants et axés sur la pratique, favorisant l'apprentissage collaboratif et l'application des concepts théoriques.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
a9eca3a1398e,Antoine Dubois,Moreau,Paris,"Formateur passionné en développement informatique, avec une solide expérience en France et en Europe.  Ajuste son expertise aux besoins des apprenants, en proposant des cours théoriques et pratiques, avec un accent sur l'application concrète des concepts.  De plus, possède une expérience significative en tant que professeur en France, maîtrisant plusieurs langages de programmation.",Master en Science de l'Informatique | Licence en Informatique,master | licence,2,licence,3
819f223ba527,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et le partage de connaissances.  Expertise dans les technologies Java, Python et Data Science, avec un fort accent sur l'apprentissage pratique et l'application concrète.  A dirigé plusieurs projets de formation et mentoré des étudiants.  Recherche une opportunité de partager son expertise et d'encadrer les jeunes talents dans le domaine de l'informatique.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
f3745a76184f,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience en France et en Europe.  Passionné par l'enseignement, la création de cours stimulants et l'accompagnement des étudiants vers leur réussite.  Spécialiste en programmation orientée objet, développement web, et data science.  Recherche une opportunité pour partager ses connaissances et inspirer les futures générations de développeurs.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
88fac195e290,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en informatique, spécialisé dans le développement logiciel, la programmation orientée objet et les technologies web.  A une solide expérience en enseignement, avec une forte volonté de transmettre ses connaissances et de stimuler l'apprentissage.  Passionné par l'innovation et l'accompagnement des étudiants.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
423b17b1a28b,Antoine Dubois,Laurent Moreau,Paris,"Formateur et professeur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience à la fois en France et à l'étranger, Antoine possède une expertise dans la conception et l'animation de cours d'enseignement, avec un accent particulier sur les technologies modernes et les méthodologies pédagogiques innovantes.",Master en Intelligence Artificielle | Master en Développement Web | Doctorat en Ingénierie Logicielle,maitre | maitre | professeur,3,professeur,3
1a7c435b873e,Jean-Luc Dubois,Martin,Paris,"Formateur passionné et expérimenté en informatique, spécialisé dans le développement logiciel et l'enseignement.  Fort d'une solide expérience en France et en développement en tant qu'enseignant, je propose des cours de qualité, axés sur la pratique et l'application des concepts.  Je souhaite partager mes connaissances et aider les étudiants à acquérir les compétences nécessaires pour réussir dans le domaine.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,2
2db8f0cfc8b5,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en conception, développement et déploiement de logiciels.  Passionné par l'enseignement et la transmission des connaissances, je suis motivé à aider les étudiants à maîtriser les concepts fondamentaux et à développer des compétences pratiques.  Je possède une expérience significative dans l'enseignement de formations en informatique, en particulier dans le domaine du développement logiciel.  Je cherche à partager mon expertise et à contribuer au succès de mes étudiants.",Master en Informatique | Doctorat en Intelligence Artificielle,maitrise | doctorat,2,maitrise,3
b1d1ecc0438e,Jean-Pierre Dubois,Leroux,Paris,"Formateur passionné et expérimenté en informatique, avec une solide expertise en développement logiciel, en pédagogie et en enseignement à l'échelle nationale et internationale.  Je suis un expert en conception de cours, en animation d'ateliers et en adaptation pédagogique pour répondre aux besoins spécifiques des étudiants.  Mon objectif est de transmettre des connaissances de qualité et de stimuler la créativité et la résolution de problèmes des participants.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
673ec7c15a7f,Jean-Pierre Dubois,Laurent Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et la transmission des connaissances. Forte expertise en développement logiciel, avec une spécialisation en 'Développement Informatique' et une expérience internationale.  Recherche un poste stimulant où partager ses compétences et contribuer à l'épanouissement des étudiants.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
ad146ef2127f,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances. Fort d'une solide expérience en France et en développement international, je suis dédié à former des étudiants et professionnels dans le domaine de l'informatique.",Master en Informatique | Licence en Informatique | Certificat de Formation en Conception Logicielle,master | licence | certificat,3,certificat,3
a3f359dc8804,Antoine Dubois,Laurent Moreau,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en enseignement et en développement de formations.  Passionné par l'innovation et la pédagogie, Antoine possède une expérience significative dans la conception et la mise en œuvre de programmes d'apprentissage.  Il est un expert en 'Développement Informatique' et souhaite partager son savoir et son expertise.",Master en Intelligence Artificielle | Licence en Informatique | Certificat de Formation en Éducation Professionnelle,master | licence | certificat,3,certificat,3
619d389366ce,Jean-Pierre Dubois,Lambert,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience en France et en développement international.  Il possède une expertise dans la conception et l'animation de cours, la pédagogie et l'enseignement des concepts de programmation.  Il est passionné par l'apprentissage et l'accompagnement des étudiants à travers des cours théoriques et pratiques.",Master en Informatique | Doctorat en Intelligence Artificielle,maitrise | doctorat,2,maitrise,2
7aba526727a9,Jean-Pierre Dubois,Lambert,Paris,"Formateur et professeur expérimenté en développement informatique, passionné par l'enseignement de l'apprentissage automatique et de l'ingénierie logicielle.  Possède une solide expertise en conception de cours, en évaluation et en gestion de l'apprentissage.  Recherche à contribuer à l'évolution du domaine de l'informatique.",Master en Intelligence Artificielle | Doctorat en Ingénierie Logicielle | Licence en Informatique,master | doctorat | licence,3,doctorat,3
fac0dd200e72,Jean-Pierre Dubois,Lefevre,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en conception de cours et en pédagogie.  Passionné par l'enseignement, l'innovation pédagogique et l'accompagnement des étudiants vers la réussite.  Spécialise dans l'apprentissage des langages Python et Java, avec une approche pratique et orientée projets.",Master en Informatique | Certificat de Formateur,maitre | senior,2,maitre,3
180cdeb4ec24,Antoine Dubois,Laurent Moreau,Paris,"Formateur expérimenté en développement informatique, spécialisé dans l'apprentissage et la pédagogie. Passionné par la transmission des connaissances et l'accompagnement des étudiants dans leur parcours de formation.  A une solide expérience dans l'enseignement de cours de développement logiciel, avec un accent sur les technologies modernes et les méthodes pédagogiques innovantes.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
4b0818cdc959,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur passionné en informatique, avec une solide expérience en enseignement et en développement de formations.  Spécialiste dans les cours de développement informatique, axé sur la pédagogie et la mise en pratique.  Cherche à partager son expertise et à inspirer les étudiants à maîtriser les technologies informatiques.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
2e01bb14571f,Jean-Luc Dubois,Petit,Paris,"Formateur passionné et expérimenté en développement informatique, spécialisé dans l'apprentissage et l'enseignement de la programmation.  Cherche à partager ses connaissances et à aider les étudiants à maîtriser les concepts fondamentaux et avancés de l'informatique.  A une solide expérience en gestion de classe et en développement de cours pédagogiques.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
354a08134781,Antoine Dubois,Lefevre,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances. Forte d'une solide expérience en France et en développement international, Antoine possède une expertise dans la conception de cours pratiques et engageants, axés sur les compétences du 21ème siècle.",Master en Intelligence Artificielle | Doctorat en Systèmes d'Exploration,master | doctorat,2,doctorat,3
fd59086f66c4,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur expérimenté en développement informatique, spécialisé dans l'apprentissage et la pédagogie. Passionné par l'enseignement de langages de programmation et la résolution de problèmes complexes.  A dirigé plusieurs projets de formation et a démontré une capacité à adapter son enseignement aux besoins des étudiants.  Recherche une opportunité de transmettre son expertise et de contribuer à l'épanouissement des futurs développeurs.",Master en Informatique | Certificat en Formation Éducative,maitre | master,2,maitre,2
466a0ecadd92,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et le partage des connaissances.  A une solide expérience dans la conception et l'animation de cours de développement logiciel, avec une forte orientation vers l'apprentissage pratique et l'accompagnement des étudiants.  Recherche un poste stimulant où il pourra contribuer à l'excellence de l'enseignement et au développement des compétences des étudiants.",Master en Informatique | Licence en Informatique,master | licence,2,licence,2
eb2dd5bd688f,Jean-Luc Dubois,Moreau,Paris,"Formateur et professeur expérimenté en informatique, spécialisé dans le développement logiciel, avec une passion pour l'enseignement et le partage des connaissances.  A une solide expérience dans la conception et l'animation de cours, avec un focus sur la pédagogie et l'accompagnement des étudiants.  Traditionnellement, possède une forte orientation vers l'apprentissage et l'amélioration continue.",Master en Informatique | Doctorat en Intelligence Artificielle,maitrise | doctorat,2,maitrise,3
851d54a79407,Jean-Pierre Dubois,Lefevre,Paris,"Formateur passionné en développement informatique, avec une solide expérience pédagogique en France et en développement international.  Spécialiste dans la conception et l'animation de cours de programmation, de data science et de technologies web.  Recherche des opportunités pour partager ses connaissances et inspirer les étudiants.",Master of Science in Computer Science | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,2
834509ad4737,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur et professeur expérimenté en développement informatique, spécialisé dans l'apprentissage automatique et la science des données. Passionné par l'enseignement de l'informatique, j'ai une solide expérience dans la conception et la mise en œuvre de cours pratiques et théoriques, axés sur la résolution de problèmes et l'application des connaissances.",Master en Intelligence Artificielle | Licence en Informatique,maitre | master,2,maitre,2
e8bb985ac467,Jean-Luc Dubois,Martin,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience pédagogique et une expertise dans l'enseignement de la programmation et de l'informatique.  Recherche à développer des cours innovants et adaptés aux besoins des étudiants.  Passionné par l'apprentissage et l'aide aux étudiants à développer leurs compétences.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
057b3c79d781,Jean-Pierre Dubois,Lefevre,Paris,"Formateur et professeur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances. Forte d'une solide expérience en France et en développement international, je propose des cours théoriques et pratiques pour tous les niveaux, de la formation de base à l'avancement professionnel.  Je m'engage à créer un environnement d'apprentissage stimulant et personnalisé.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
56c64dc38395,Antoine Dubois,Lambert,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise en conception, développement et déploiement de logiciels.  Cherche à partager son savoir et à inspirer les étudiants à travers des cours engageants et pertinents.  Un expert en pédagogie et en adaptation aux besoins de chaque apprenant.",Master en Informatique | Certificat en Conception Logicielle,master | certificat,2,certificat,2
6c1411579de5,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné et expérimenté en informatique, spécialisé dans le développement logiciel, la pédagogie et la formation. Fort d'une solide expérience à la fois en France et à l'étranger, il a une expertise reconnue dans l'enseignement de bases et avancées en développement logiciel, avec un accent sur l'apprentissage pratique et l'application des concepts théoriques.  Il est passionné par la transmission des connaissances et l'accompagnement des apprenants dans leur développement professionnel.",Master en Intelligence Artificielle | Diplôme d'Ingénieur en Informatique | Certificat de Formation en Développement Web,maitrise | licence | certificat,3,certificat,3
61f2b099a3bd,Antoine Dubois,Laurent Moreau,Paris,"Formateur passionné en développement informatique, spécialisé dans l'apprentissage et l'enseignement de l'algorithmique, de la programmation orientée objet et des systèmes d'exploitation.  A une solide expérience dans la conception et l'animation de cours, avec un accent sur l'apprentissage pratique et l'engagement des étudiants.  Recherche à contribuer à l'évolution du paysage éducatif en France.",Master en Informatique | Licence en Informatique,master | licence,2,licence,2
24d4b7efe8f4,Jean-Luc Dubois,Martin,Paris,"Formateur passionné en développement informatique, avec une solide expérience pédagogique et une expertise reconnue dans la conception et l'animation de cours de qualité.  Soucieux de l'engagement des étudiants et de leur permettre de maîtriser les concepts clés, il propose une approche pédagogique dynamique et adaptée aux différents niveaux.",Master en Informatique | Licence en Informatique | Certificat en Formation Éducative,maitre | licence | certificat,3,certificat,3
d16579e87d6f,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur et professeur expérimenté en informatique, passionné par l'enseignement de la programmation et du développement logiciel.  A une solide expérience dans la conception et l'animation de cours, avec un accent sur l'apprentissage pratique et la résolution de problèmes.  Cherche à partager ses connaissances et à inspirer les étudiants à maîtriser les concepts informatiques.",Master en Informatique | Doctorat en Intelligence Artificielle,maitrise | doctorat,2,maitrise,3
e8a44e08b62c,Antoine Dubois,LeBlanc,Paris,"Formateur passionné en développement informatique, avec une solide expérience dans la pédagogie et la transmission de connaissances.  Astre de l'innovation pédagogique, Antoine se spécialise dans l'enseignement des concepts fondamentaux et l'application pratique des technologies.  Il est motivé par l'aide aux étudiants à acquérir les compétences nécessaires pour réussir dans le domaine.",Master en Informatique | Licence en Informatique,master | licence,2,licence,2
ceeba597c75f,Jean-Luc Dubois,Martin,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expertise dans l'enseignement et la formation.  A dirigé des cours de premier et de second cycle, en mettant l'accent sur les concepts clés et les meilleures pratiques.  Passionné par l'innovation et l'amélioration continue des méthodes d'enseignement.",Master en Informatique | Doctorat en Intelligence Artificielle,master | doctorat,2,doctorat,3
e13d63badd86,Jean-Pierre Dubois,Lefevre,Paris,"Formateur et professeur passionné d'informatique, spécialisé dans le développement logiciel, la programmation orientée objet et les technologies web.  A une solide expérience dans l'enseignement et la formation, avec un engagement à aider les étudiants à acquérir des compétences pratiques et à réussir leurs projets.",Master en Informatique | Certificat de Formation en Programmation Orientée Objet,master | certificat,2,certificat,2
81cb16a671b3,Jean-Pierre Dubois,Lefevre,Paris,"Formateur expérimenté en informatique, spécialisé dans le développement logiciel, avec une solide expérience en France et en développement international. Passionné par l'enseignement et la transmission des connaissances, je propose des cours de qualité, adaptés à différents niveaux et intérêts.  Je mets l'accent sur l'apprentissage pratique et la résolution de problèmes.",Master en Intelligence Artificielle | Doctorat en Sciences de l'Informatique | Licence en Informatique,master | doctorat | licence,3,doctorat,3
1dde299c259a,Jean-Luc Dubois,Martin,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience à la fois en France et à l'étranger.  A dirigé des cours et des projets de formation pour une large gamme d'étudiants et professionnels.  Spécialiste en pédagogie numérique et en adaptation des méthodes d'enseignement aux besoins spécifiques.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
a51d18ed669b,Antoine Dubois,Lefevre,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience en France et en développement international.  Offre une formation de qualité et un accompagnement personnalisé aux étudiants et professionnels.  Axé sur l'enseignement pratique, la résolution de problèmes et la mise en œuvre de concepts avancés.",Master en Informatique | Certificat de Formation en Développement Logiciel,master | certificat,2,certificat,3
15037ddbb31d,Jean-Luc Dubois,Moreau,Paris,"Formateur expérimenté en informatique, passionné par l'enseignement et le partage de connaissances.  Expert en développement logiciel, avec une solide expérience dans la conception et la mise en œuvre de programmes, de projets et de formations.  Un leader pédagogique, capable de rendre les concepts complexes accessibles et engageants.  Spécialise dans l'apprentissage de la programmation et le développement d'applications web.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
f372335e6da0,Jean-Pierre Dubois,Lefebvre,Paris,"Formateur et professeur expérimenté en informatique, spécialisé dans le développement logiciel, avec une forte expertise en 'Développement Informatique' et une passion pour l'enseignement.  A dirigé plusieurs projets et formations, mettant l'accent sur l'apprentissage pratique et la résolution de problèmes.",Master en Informatique | Doctorat en Intelligence Artificielle | Certificat de Formation en Développement Logiciel,maitrise | doctorat | certificat,3,certificat,3
4f26cdbb3305,Jean-Luc Dubois,Moreau,Paris,"Formateur passionné en informatique, avec une solide expérience dans la conception et l'enseignement de cours de développement logiciel.  Spécialiste en technologies [mentionner les technologies clés, ex: Python, Java, JavaScript, etc.].  Recherche un poste stimulant où mettre à profit ses compétences pédagogiques et son expertise dans le domaine de l'informatique.",Master en Informatique | Licence en Informatique | Certificat de Formation en Développement Logiciel,maitrise | licence | certificat,3,certificat,3
0163518081f4,Jean-Pierre Dubois,Lefevre,Paris,"Formateur expérimenté en développement informatique, passionné par l'enseignement et la transmission de connaissances.  Fort d'une solide expérience en France et en développement international, il souhaite partager son expertise et aider les étudiants à maîtriser les concepts clés du domaine.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
9620858107f5,Jean-Luc Dubois,Martin,Paris,"Formateur passionné et expérimenté en développement informatique, avec une solide expérience dans la conception et l'animation de cours de qualité.  Il possède une expertise en pédagogie et en adaptation aux besoins des apprenants.  Il est motivé par la transmission des connaissances et l'accompagnement des étudiants vers la réussite.",Master en Informatique | Licence en Informatique,master | licence,2,licence,3
04b7869d2a29,Jean-Pierre Dubois,Martin,Paris,"Formateur et professeur expérimenté en développement informatique, passionné par l'enseignement et la transmission des connaissances.  Fort de plus de 15 ans d'expérience dans l'éducation et la profession, il a développé une approche pédagogique centrée sur l'apprentissage actif et la résolution de problèmes concrets.  Il possède une solide expertise dans les langages de programmation Python, Java, JavaScript et C++, ainsi que dans les méthodologies d'enseignement en ligne et en présentiel.",Master en Informatique | Licence en Informatique,maitre | licence,2,licence,3
